Tag A,Tag B,Similitud_Coseno_Prob_Topicos
A 20 Años Del 2001,Ucr,0.893
Discurso,Paro General,0.893
Pacto De Mayo,Paro General,0.893
Llaryora,Paro General,0.893
Discursos De Odio,Redes Sociales,0.893
Lenguaje Inclusivo,Testimonios,0.893
Leda-Unsam,Visibilidad Lésbica,0.893
Campo,Federalismo,0.893
Angela Merkel,Antipolítica,0.893
Movimientos Sociales,Peronismo,0.893
Honduras,Piñera,0.893
Leandro Santoro,Libertarios,0.893
Cuidados,Géneros,0.893
Elites,Nancy Fraser,0.893
Homofobia,Leda-Unsam,0.893
Adicciones,Salud,0.893
Francia Márquez,Randazzo,0.893
Ambiente,Humedales,0.893
Piñera,Xiomara Castro,0.893
Horacio Rodríguez Larreta,Randazzo,0.893
Peronismo,Sin Control 2,0.893
Boca Juniors,Diego Maradona,0.893
Carry Trade,Deudas,0.893
Alejandro Sabella,Pelé,0.893
Daniel Ortega,Internacional,0.893
8M,Encuesta De Qué Viven,0.893
Filtraciones,Periodismo,0.893
Performance,Testosterona,0.893
Angela Merkel,Ucr,0.893
Memoria Trans,Nahir Galarza,0.893
Juan Grabois,Kirchnerismo,0.893
Fito Páez,Rosalía,0.893
Derechas,Retenciones,0.893
Agronegocios,Derechas,0.893
Fmi,Silvina Batakis,0.893
Agronegocios,Federalismo,0.893
Sergio Massa,Ucr,0.893
Instagram,Luis Majul,0.893
Literatura,Paco Ignacio Taibo Ii,0.893
Ba,Depresión,0.893
Pandora Papers,Periodismo,0.893
Axel Kicillof,Progresismo,0.893
Axel Kicillof,Comunicación Política,0.893
$Libra,Libertarios,0.893
Juntos Por El Cambio,Martín Guzmán,0.893
Día Del Padre,La Perla,0.893
Día Del Padre,Familiares,0.893
Internacional,Nicaragua,0.893
Anticomunismo,El Salvador,0.893
Neoliberalismo,Política,0.893
Campo,Derechas,0.893
8M,Cupo Laboral Trans,0.893
Federalismo,Retenciones,0.893
Milei,Provincias,0.893
Ley Bases,Un Año De Milei,0.893
G20,Patricia Bullrich,0.892
América Latina,Litio,0.892
Cordobesismo,Perfil Político,0.892
Abuso Sexual,Libertad De Expresión,0.892
Masculinidades,Pablo Lautra,0.892
Denuncias,Masculinidades,0.892
Claudia Sheinbaum,Elecciones,0.892
Ley Ómnibus,Milei,0.892
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Tango,0.892
Anticomunismo,Discurso,0.892
Chile,Gabriela Mistral,0.892
2001 | Unsam,Ecuador,0.892
Colombia,Democracia,0.892
Arteba,Clases Medias,0.892
Disidencias Sexuales,Lenguaje Inclusivo,0.892
Claudia Sheinbaum,Perfil Político,0.892
Falsas Denuncias,Masculinidades,0.892
Cfk,María Eugenia Vidal,0.892
2001,Política,0.892
Alemania,Frente De Izquierda,0.892
Masculinidades,Varones Unidos,0.892
Congreso,Criptogate,0.892
Cuidados,Lgbtiq+,0.892
Convención Constituyente,Proceso Constituyente,0.892
Mediáticos,Reality,0.892
Bolivia,Escuela De Política Y Gobierno,0.892
Causa Andis,Unión Por La Patria,0.892
Financiamiento Narco,Unión Por La Patria,0.892
Elecciones Legislativas 2021,Kirchnerismo,0.892
Lunes Negro,Política Exterior,0.892
Sergio Massa,Victoria Villarruel,0.892
Alimentación,Democracia,0.892
Manuel Adorni,Pro,0.892
Escuela De Política Y Gobierno,Perfil Político,0.892
Caba,Peronismo,0.892
Fallo Contra Cfk,Libertarios,0.892
Libertad,Victoria Villarruel,0.892
Basta Chicos,Reality,0.892
Adorni,Axel Kicillof,0.892
A 20 Años Del 2001,El Salvador,0.892
#Niunamenos,Orgullo,0.892
Randazzo,Sergio Massa,0.892
Doble Femicidio,Masculinidades,0.892
Bruno Stagnaro,Zapping Cultural,0.891
Game Of Thrones,Pedro Almodóvar,0.891
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Masculinidades,0.891
Corrupción,Fallo Contra Cfk,0.891
Moria Casán,Murakami,0.891
Alemania,Peronismo,0.891
Pacto De Mayo,Victoria Villarruel,0.891
Mitos Impuestos,Sistema Bancario,0.891
Alemania,Feminismo Negro,0.891
Ley Bases,Peronismo,0.891
Izquierdas,Perfil Político,0.891
Universidad Pública,Violencia Escolar,0.891
Identidad De Género,Juventudes,0.891
Boca Juniors,Messi,0.891
Crimen De Odio,Violencias,0.891
A 20 Años Del Estallido,Interseccionalidad,0.891
Amor,Moria Casán,0.891
A 20 Años Del Estallido,Feminismo Negro,0.891
Angela Merkel,El Salvador,0.891
Desigualdad,Ley Bases,0.891
Dillom,Fundamentalistas Del Aire Acondicionado,0.891
Memoria Trans,Menopausia,0.891
Martín Guzmán,Progresismo,0.891
Censo,Juventudes,0.891
Criptogate,Pacto De Mayo,0.891
Culturahype,Tucumán,0.891
Amor,Euphoria,0.891
El Eternauta,Zapping Cultural,0.891
Criptogate,Llaryora,0.891
Juan Grabois,Leandro Santoro,0.891
Fernanda Miño,San Martín,0.891
Ciudad Futura,Libertarios,0.891
3J,Orgullo,0.891
Cordobesismo,Gobernadores,0.891
Ecuador,Elites,0.891
Bahía Blanca,Incendios Forestales,0.891
Hipersticion,Tucumán,0.891
Fallo Contra Cfk,Ley Bases,0.891
Lavagna,Marxismo,0.891
Crisis Climática,Vaca Muerta,0.891
Cultura,Rosariocronica,0.891
Leandro Santoro,Libertad,0.891
Autismo,Periodismo Narrativo,0.891
Donald Trump,Hegemonía,0.891
Frente De Todos,Política,0.891
Fundamentalistas Del Aire Acondicionado,Horrorcore,0.891
24M: Día De La Memoria Por La Verdad Y La Justicia,Justicia,0.891
Elites,Francia Márquez,0.891
Bahía Blanca,Cosas Que Funcionan,0.891
Corrupción,Milei,0.891
Adorni,Leandro Santoro,0.891
Frente De Izquierda,Juntos Por El Cambio,0.891
Fuerzas De Seguridad,Narcotráfico,0.891
Arte,Futuro Imperfecto,0.891
Elites,Frente De Todos,0.891
Llaryora,Victoria Villarruel,0.891
Dillom,Redonditos De Ricota,0.891
Discapacidad,Unsam,0.891
Kirchnerismo,Nancy Fraser,0.891
$Libra,Tucumán,0.891
Horrorcore,Redonditos De Ricota,0.891
House Of The Dragon,Pedro Almodóvar,0.891
Anticomunismo,Gustavo Petro,0.891
Ecuador,Escuela Idaes,0.891
Ciudad Futura,Leandro Santoro,0.891
Bahía Blanca,Patagonia,0.891
Axel Kicillof,Lavagna,0.891
Amor,Zendaya,0.891
Alemania,Interseccionalidad,0.891
Neoliberalismo,Unsam,0.89
Alemania,Nicolas Maduro,0.89
Antisemitismo,Medio Oriente,0.89
Comunicación Política,La Libertad Avanza,0.89
Cambio Climático,Crisis Climática,0.89
Evo Morales,Francia Márquez,0.89
Qatar 2022,Tenis,0.89
Lavagna,Progresismo,0.89
Juntos Por El Cambio,Nancy Fraser,0.89
Axel Kicillof,Corrupción,0.89
Chile,Sebastián Piñera,0.89
Campo De Mayo,Imprenteros,0.89
Campo De Mayo,Escrituras Autobiográficas,0.89
Claudia Sheinbaum,Elites,0.89
Anticomunismo,Ley Bases,0.89
America Latina,Elecciones,0.89
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Femicidios,0.89
Leandro Santoro,Victoria Villarruel,0.89
Leda-Unsam,Movimientos Sociales,0.89
Movilización,Peronismo,0.89
Hipersticion,La Libertad Avanza,0.89
Internacional,Racismo,0.89
Elecciones 2023,Kirchnerismo,0.89
Corrupción,Discurso,0.89
Gabriel García Márquez,Libros,0.89
Breaking Bad,Hbo,0.89
America Latina,Angela Merkel,0.89
Cuidados,Memoria Trans,0.89
Fondos Buitre,Glosario De La Crisis,0.89
Paro General,Provincias,0.89
Giorgia Meloni,Italia,0.89
Culturahype,La Libertad Avanza,0.89
Ecuador,Escuela De Política Y Gobierno,0.89
Corrupción,Presupuesto 2025,0.89
Corrupción,Populismo,0.89
Ambiente,Patagonia,0.89
Libros,Patrimonio Cultural,0.89
Ambiente,Ley De Glaciares,0.89
Marxismo,Silvina Batakis,0.89
Arte Ciencia Y Tecnoceno,Crisiis Climática,0.89
Ecuador,María Eugenia Vidal,0.89
Disidencias Sexuales,Géneros,0.89
Elites,Escuela Idaes,0.89
Democracia,Nancy Fraser,0.89
Congreso,Política Exterior,0.89
Feminismos,Triple Femicidio,0.89
Elecciones Legislativas 2021,La Libertad Avanza,0.89
Congreso,Tucumán,0.89
Memoria,Periodismo Narrativo,0.89
Democracia,Escuela Idaes,0.89
Covid-19,Pep,0.89
Adorni,Milei,0.89
El Salvador,Perfil Político,0.89
Anses,Neoliberalismo,0.89
Covid-19,Varones Gay,0.89
Escuela De Política Y Gobierno,Marxismo,0.89
Amor,Hbo,0.89
Covid-19,Prep,0.89
Ambiente,Ba,0.89
Martín Guzmán,Precios,0.89
Anticomunismo,Pro,0.89
Di María,Mundial 2026,0.89
Better Call Saul,Hbo,0.89
Frente De Todos,Juan Grabois,0.89
El País,O Sea Digamos,0.89
Cecilia Vicuña,La Columna De Zambra,0.89
Energía Nuclear,Recursos Naturales,0.89
Antipolítica,Giorgia Meloni,0.89
Antipolítica,Marcos Peña,0.89
Comunicación Política,Peronismo,0.89
Lentitud,Rosalía,0.89
Cristina Fernández De Kirchner,Unión Por La Patria,0.889
3J,Cupo Laboral Trans,0.889
Javier Milei,Progresismo,0.889
A 20 Años Del 2001,Claudia Sheinbaum,0.889
Frente De Todos,La Libertad Avanza,0.889
El Salvador,Honduras,0.889
Casa Rosada,Panama Papers,0.889
Angela Merkel,Lavagna,0.889
A 20 Años Del 2001,Perfil Político,0.889
Federalismo,Marcos Peña,0.889
Financiamiento Narco,O Sea Digamos,0.889
Elecciones,Nicaragua,0.889
Elites,Piñera,0.889
8M,Vínculos,0.889
Chile Convención Constituyente Internacional,Sebastián Piñera,0.889
Cristina Fernández De Kirchner,Lavagna,0.889
Movimientos Sociales,Neoliberalismo,0.889
Provincias,Retenciones,0.889
Narcotráfico,Violencias,0.889
Lgbtiq+,Punitivismo,0.889
Adorni,Criptogate,0.889
Francia Márquez,Martín Guzmán,0.889
Juan Grabois,Ley Ómnibus,0.889
Fascismo,Liberalismo,0.889
Libros,Naturaleza,0.889
Fuerzas De Seguridad,Protesta Social,0.889
Gobernadores,Karina Milei,0.889
Congreso,Cristina Fernández De Kirchner,0.889
Cfk,Giorgia Meloni,0.889
El Salvador,Xiomara Castro,0.889
Arteba,Ilustraciones,0.889
Causa Andis,O Sea Digamos,0.889
Alimentación,Desigualdad,0.889
Daniel Ortega,Elecciones,0.889
Alemania,Ecuador,0.889
Cárceles,Universidad Pública,0.889
Libertad De Expresión,Violencia De Género,0.889
Campo,Provincias,0.889
Justicia,Nahir Galarza,0.889
Internacional,Perfil Político,0.889
Amazon Prime,Amor,0.889
3J,Encuesta De Qué Viven,0.889
Elecciones 2023,Victoria Villarruel,0.889
Ley Omnibus,Lunes Negro,0.889
Claudia Sheinbaum,Elecciones Legislativas 2021,0.889
Nacionalismo,Sergio Massa,0.889
Agronegocios,Provincias,0.889
Elites,Ley Bases,0.889
Impuesto A Las Grandes Riquezas,Regresividad Impositiva,0.889
Federalismo,Frente De Todos,0.889
Gustavo Petro,Randazzo,0.889
América Latina,Jujuy,0.888
Gabrielboric,Perfil Político,0.888
Irinakaramanos,Perfil Político,0.888
Comedores Comunitarios,Provincias,0.888
Higui,Varones Unidos,0.888
Causa Andis,Criptogate,0.888
Higui,Pablo Lautra,0.888
Comunicación Política,Elecciones Legislativas 2021,0.888
Performance,Teatro,0.888
El Salvador,Escuela De Política Y Gobierno,0.888
Javier Milei,Jorge Macri,0.888
Caba,Perfil Político,0.888
Cuba,Mexico,0.888
Glosario De La Crisis,Inflación,0.888
Manuel Adorni,Sergio Massa,0.888
Derechos Humanos,Migración,0.888
Corte Suprema,Ice,0.888
Sex And The City,Shakespeare,0.888
Cop26,Vaca Muerta,0.888
Violencia,Violencias,0.888
Federalismo,Tucumán,0.888
Trump,Violencia Cívica,0.888
Apropiación Cultural,Conurbano,0.888
Feminismo Negro,Izquierdas,0.888
Interseccionalidad,Izquierdas,0.888
Cristina Fernández De Kirchner,Escuela De Política Y Gobierno,0.888
Ciudad Futura,Frente De Izquierda,0.888
Doble Femicidio,Higui,0.888
Arteba,Artes,0.888
Elecciones,Fallo Contra Cfk,0.888
Ciudad Futura,Discurso,0.888
24M: Día De La Memoria Por La Verdad Y La Justicia,Femicidio,0.888
Adorni,El País,0.888
Amistad,Shakespeare,0.888
Fascismo,Honduras,0.888
Corrupción,Tucumán,0.888
Fascismo,Hegemonía,0.888
Falsas Denuncias,Higui,0.888
Kirchnerismo,Patricia Bullrich,0.888
Francia Márquez,Marxismo,0.888
Giorgia Meloni,Paso,0.888
Dólar,Silvina Batakis,0.888
Jorge Macri,Ley Ómnibus,0.888
Alemania,Antipolítica,0.888
Juan Grabois,Progresismo,0.888
Adorni,Tucumán,0.888
Alemania,America Latina,0.888
Criptogate,Financiamiento Narco,0.888
La Cámpora,Mario Wainfeld,0.888
Criptogate,El País,0.888
Denuncias,Higui,0.888
Cfk,Randazzo,0.888
Clarín,Poder Judicial,0.888
Donald Trump,Nicolas Maduro,0.888
Hipersticion,Manuel Adorni,0.888
Fascismo,Xiomara Castro,0.888
Paro General,Un Año De Milei,0.888
Feminismos,Menopausia,0.888
Karina Milei,Ley Omnibus,0.888
Ecología,Incendios Forestales,0.888
Culturahype,Manuel Adorni,0.888
Pobreza,Violencia,0.888
A 20 Años Del Estallido,Leda-Unsam,0.887
Luis Alberto Spinetta,Trap,0.887
Fallo Contra Cfk,Pro,0.887
La Libertad Avanza,Marcos Peña,0.887
Imaginarios,Tecnologías,0.887
Imaginarios,Pensamiento Crítico,0.887
America Latina,Francia Márquez,0.887
Ice,Juicios De Lesa Humanidad,0.887
Identidad De Género,Tecnología,0.887
El Salvador,Elecciones 2023,0.887
Causa Andis,Javier Milei,0.887
Financiamiento Narco,Javier Milei,0.887
Discurso,Jorge Macri,0.887
Jorge Macri,O Sea Digamos,0.887
House Of The Dragon,Murakami,0.887
Julia Mengolini,Progresismo,0.887
Democracia,Elecciones,0.887
Anticomunismo,Comunicación Política,0.887
Afjp,Comedores Comunitarios,0.887
Comedores Comunitarios,Gobierno,0.887
Barbie,Pedro Almodóvar,0.887
Agronegocios,Elites,0.887
Arteba,Futuro Imperfecto,0.887
Dictadura,Nietos,0.887
Discursos Odio,Progresismo,0.887
Fake News,Progresismo,0.887
Censo,Tecnología,0.887
Elecciones Legislativas 2021,Patricia Bullrich,0.887
Jorge Macri,Perfil Político,0.887
Derechas,Política Exterior,0.887
Culturahype,Ley Ómnibus,0.887
Abuso Sexual,Géneros,0.887
Elites,Retenciones,0.887
Fascismo,Venezuela,0.887
Corrupción,Jorge Macri,0.887
Indio Solari,Parakultural,0.887
Hipersticion,Ley Ómnibus,0.887
Arte Y Política,Indio Solari,0.887
Inteligencia Artificial,Tecnologías,0.887
Amazon Prime,Netflix,0.887
Ambiente,Cosas Que Funcionan,0.887
Campo,Elites,0.887
Game Of Thrones,Murakami,0.887
Panama Papers,Periodismo,0.887
Astrología,Nazismo,0.887
Discursos De Odio,Unsam,0.887
Antisemitismo,Israel,0.887
Alemania,María Eugenia Vidal,0.887
Futuridades,Tecnologías,0.887
Futuridades,Pensamiento Crítico,0.887
Estallido En Chile,La Conversa,0.887
#Anfibia10Años,Libros,0.887
Ley Bases,Progresismo,0.886
A 20 Años Del Estallido,Frente De Izquierda,0.886
Pacto De Mayo,Tucumán,0.886
Plebiscito De Salida,Sebastián Piñera,0.886
Feminismos,Terf,0.886
Adorni,Juan Grabois,0.886
Afjp,Ley Bases,0.886
Elecciones 2023,Escuela De Política Y Gobierno,0.886
Abuso Sexual,Feminismos,0.886
Feminismos,Furia Travesti,0.886
A 20 Años Del Estallido,Neoliberalismo,0.886
Paro General,Unión Por La Patria,0.886
Discursos Odio,Redes Sociales,0.886
Discurso,Ley Omnibus,0.886
Alberto Fernández,Bukele,0.886
Folklore,Lentitud,0.886
Agua,Incendios,0.886
Economía,Neoliberalismo,0.886
2001,Rosariocronica,0.886
Julia Mengolini,Redes Sociales,0.886
2001 | Unsam,Crueldad,0.886
Colombia,Perfil Político,0.886
Llaryora,Tucumán,0.886
Angela Merkel,Cristina Fernández De Kirchner,0.886
Crisis,Guerra De Aranceles,0.886
América Latina,Guyana,0.886
Hegemonía,Progresismo,0.886
Gobernadores,Liberalismo,0.886
Culturahype,Paro General,0.886
Cuba,Invasión,0.886
Hipersticion,Paro General,0.886
Higui,Triple Femicidio,0.886
Cristina Fernández De Kirchner,O Sea Digamos,0.886
Encuentro Anfibio,Feria Del Libro,0.886
Derechas,Escuela De Política Y Gobierno,0.886
Ni Una Menos,Shakespeare,0.886
Derecho A La Desconexión,Derechos,0.886
Democracia,Movimientos Sociales,0.886
Desigualdad,Discapacidad,0.886
Alemania,Marxismo,0.886
Alfabetismos Aumentados,Derechos,0.886
Nietos,Periodismo Narrativo,0.886
Alberto Fernández,Santa Fe,0.886
Ciudad Futura,Un Año De Milei,0.886
Chat Gpt,Iag,0.886
Axel Kicillof,Lunes Negro,0.886
Cine,Steven Spielberg,0.886
Batalla Cultural,Derechas,0.886
Cfk,Fallo Contra Cfk,0.886
Fake News,Redes Sociales,0.886
La Columna De Zambra,Pizarnik,0.886
La Libertad Avanza,Paro General,0.886
24M: Día De La Memoria Por La Verdad Y La Justicia,Patriarcado,0.886
Roberto Jacoby,Rock Nacional,0.886
Cancelación,Feminismos,0.886
Cordobesismo,Izquierdas,0.886
María Eugenia Vidal,Paso,0.886
Anticomunismo,Fascismo,0.886
Indio Solari,Música,0.886
Marxismo,Perfil Político,0.886
Internacional,Piñera,0.886
Cordobesismo,Kirchnerismo,0.886
Estallido,Seguridad,0.885
Premios Oscar,Steven Spielberg,0.885
Ecuador,Nicaragua,0.885
Patricia Bullrich,Randazzo,0.885
Estado Laico,Evangélicos,0.885
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Abuso Sexual,0.885
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Encuesta De Qué Viven,0.885
Elecciones Legislativas 2021,Gobernadores,0.885
Populismo,Pro,0.885
El País,Libertad,0.885
#Viajosola,Patriarcado,0.885
Elecciones,Unión Por La Patria,0.885
8M,Orgullo,0.885
Boric,Proceso Constituyente,0.885
Cfk,Perfil Político,0.885
Kirchnerismo,Ley Bases,0.885
Cfk,Juntos Por El Cambio,0.885
Justicia,Patriarcado,0.885
Atentado A Cristina,Fuerzas De Seguridad,0.885
Artlab,Fito Páez,0.885
Protesta Social,Seguridad,0.885
Comunicación Política,Javier Milei,0.885
Marcos Peña,Nicaragua,0.885
Politica Exterior,Política Exterior,0.885
Presupuesto 2025,Pro,0.885
Géneros,Lgbtiq+,0.885
Amor,Pakapaka,0.885
Gobierno,Ley Bases,0.885
Daniel Ortega,Ecuador,0.885
A 20 Años Del 2001,Gustavo Petro,0.885
Mauricio Macri,Patricia Bullrich,0.885
Crimen,Terrorismo De Estado,0.885
Mercado Libre,Reforma Laboral,0.885
Racismo,Racismo En Argentina,0.885
America Latina,Comunicación Política,0.885
Alimentación,Política,0.885
Neoliberalismo,Silvina Batakis,0.885
Gastronomía,Palermo,0.885
Derechas,Jorge Macri,0.885
Futuro Imperfecto,Movimiento,0.885
Futuro Imperfecto,Posguerra,0.885
Futuro Imperfecto,Melisa Zulberti,0.885
Frente De Todos,Patricia Bullrich,0.885
Alejandro Sabella,Mundial 2026,0.885
Orgullo,Shakespeare,0.885
A 20 Años Del 2001,Cordobesismo,0.885
A 20 Años Del 2001,Cristina Fernández De Kirchner,0.885
Convención Constituyente,Estallido En Chile,0.885
Fallo Contra Cfk,Jorge Macri,0.885
Danza,Futuro Imperfecto,0.885
Escuela De Arte Y Patrimonio,Vih/Sida,0.885
Grupo Clarín,Redes Sociales,0.885
Daniel Ortega,Marcos Peña,0.885
Anticomunismo,Interseccionalidad,0.885
Anticomunismo,Feminismo Negro,0.885
Selección Argentina,Tenis,0.885
Constitución,Evangélicos,0.885
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Cupo Laboral Trans,0.885
Juntos Por El Cambio,Libertarios,0.885
Masculinidades,Shakespeare,0.885
María Eugenia Vidal,Patricia Bullrich,0.885
Elites,Unsam,0.884
Disidencias Sexuales,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.884
Elecciones Legislativas 2021,Jorge Macri,0.884
A 20 Años Del Estallido,Perfil Político,0.884
Adorni,Causa Andis,0.884
Adorni,Financiamiento Narco,0.884
Afjp,Un Año De Milei,0.884
Elecciones 2023,Nacionalismo,0.884
Elecciones 2023,Nancy Fraser,0.884
#Viajosola,Femicidio,0.884
Dictadura,Lgbt,0.884
Fuerzas De Seguridad,Violencia Institucional,0.884
Elites,Nicaragua,0.884
Alberto Fernández,Provincias,0.884
Nahir Galarza,Ni Una Menos,0.884
Gobernadores,O Sea Digamos,0.884
Industria Textil,Reforma Laboral,0.884
Corrupción,Leandro Santoro,0.884
Criptogate,Discurso,0.884
Crisis,Movimientos Sociales,0.884
Cristina Fernández De Kirchner,Javier Milei,0.884
Daniel Ortega,Escuela De Política Y Gobierno,0.884
Amor,Globos De Oro,0.884
Hidrógeno Verde,Vaca Muerta,0.884
Daniel Ortega,Elites,0.884
Gobernadores,María Eugenia Vidal,0.884
Ni Una Menos,Orgullo,0.884
Gabriel Boric,Proceso Constituyente,0.884
Derechas,Ley Ómnibus,0.884
Derecha,Paraguay,0.884
Internacional,Perú,0.884
Anticomunismo,Movimientos Sociales,0.884
Escuela De Política Y Gobierno,Nicaragua,0.884
Asociación Del Fútbol Argentino,Mundial 2026,0.884
Antipolítica,Cristina Fernández De Kirchner,0.884
Anticomunismo,Ucr,0.884
Juntos Por El Cambio,Libertad,0.884
Charly García,Rosalía,0.884
Axel Kicillof,Victoria Villarruel,0.884
Axel Kicillof,Perfil Político,0.884
Estado,Industria Textil,0.884
Boca Juniors,Di María,0.884
Cepo,Reforma Laboral,0.884
Cepo,Estado,0.884
Bolivia,El Salvador,0.884
Lgbtiq+,Masculinidades,0.884
Bosque,Filba,0.884
Botánica,Feria Del Libro,0.884
Violencia,Violencia Policial,0.883
#Viajosola,Femicidios,0.883
$Libra,Corrupción,0.883
24M: Día De La Memoria Por La Verdad Y La Justicia,Narco,0.883
Giorgia Meloni,Gobernadores,0.883
Derechas,Fascismo,0.883
Derechas,Kirchnerismo,0.883
Deudas,Silvina Batakis,0.883
Agronegocios,Neoliberalismo,0.883
Discapacidad,Movimientos Sociales,0.883
Deudas,Economía,0.883
Crueldad,Frente De Todos,0.883
Gustavo Petro,Perú,0.883
A 20 Años Del 2001,Nancy Fraser,0.883
A 20 Años Del 2001,Santa Fe,0.883
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Encuentro Plurinacional De Mujeres,0.883
Escuela De Política Y Gobierno,Frente De Izquierda,0.883
Agronegocios,El Salvador,0.883
Piñera,Sebastián Piñera,0.883
Interseccionalidad,Leda-Unsam,0.883
Interseccionalidad,Perfil Político,0.883
Cop26,Energía,0.883
Campo,El Salvador,0.883
Nicolas Maduro,Partido Republicano,0.883
La Libertad Avanza,Perfil Político,0.883
Campo De Mayo,Murakami,0.883
Campo,Neoliberalismo,0.883
Leandro Santoro,Un Año De Milei,0.883
Kirchnerismo,Santa Fe,0.883
Cfk,Nicaragua,0.883
Cfk,Daniel Ortega,0.883
Ciudad Futura,Comunicación Política,0.883
Cfk,Patricia Bullrich,0.883
Frente De Izquierda,Perfil Político,0.883
Ciudad Futura,Sin Control 2,0.883
Marxismo,Randazzo,0.883
Feminismo Negro,Perfil Político,0.883
Tango,Vínculos,0.883
Angela Merkel,Venezuela,0.883
Bosque,Ficción,0.883
Libertarios,Pacto De Mayo,0.883
Libertarios,Llaryora,0.883
El Salvador,Ley Bases,0.883
El Salvador,Retenciones,0.883
Ficción,La Columna De Zambra,0.883
El Salvador,Progresismo,0.883
Memoria Trans,Shakespeare,0.883
Feminismo Negro,Leda-Unsam,0.883
Neoliberalismo,Retenciones,0.883
Ley Omnibus,Unión Por La Patria,0.883
Elites,Progresismo,0.883
Narcotráfico,Rosario,0.883
Lenguaje Inclusivo,Ni Una Menos,0.883
Nancy Fraser,Política,0.883
Colombia,Jujuy,0.883
Claudia Sheinbaum,Piñera,0.883
Agua,Depresión,0.883
Comedores Comunitarios,Elecciones Legislativas 2021,0.883
Impuesto A Las Grandes Riquezas,Precios,0.882
Izquierdas,Paso,0.882
Energía,Vaca Muerta,0.882
Estallido,Venezuela,0.882
Desigualdad,Movimientos Sociales,0.882
Derechas,Victoria Villarruel,0.882
Gabriel Boric,Plebiscito De Salida,0.882
Cristina Fernández De Kirchner,Libertad,0.882
Cristina Fernández De Kirchner,Paso,0.882
Deuda,Fondos Buitre,0.882
Desigualdad,Visibilidad Lésbica,0.882
Desigualdad,Homofobia,0.882
#Anfibia10Años,Teatro,0.882
Sindicalismo,Trabajo,0.882
Mauricio Macri,Randazzo,0.882
Asociación Del Fútbol Argentino,Diego Maradona,0.882
Feria Del Libro,Luis Majul,0.882
Democracia,Fake News,0.882
Anticomunismo,Jorge Macri,0.882
Amistad,Pedro Almodóvar,0.882
Bolivia,Izquierdas,0.882
Feria Del Libro,Tiktok,0.882
Boric,Estallido En Chile,0.882
Muerte,Salud,0.882
Movimientos Sociales,Trenes Argentinos,0.882
Ferrocarriles,Movimientos Sociales,0.882
Ba,Canal De Panamá,0.882
Ficción,Gabriel García Márquez,0.882
Ba,Beca Crónica,0.882
Ficción,Patrimonio Cultural,0.882
Ba,Resistencia,0.882
Movimientos Sociales,Trenes,0.882
Federalismo,Perfil Político,0.882
Fotoperiodismo,Masacre De Avellaneda,0.882
Fotoperiodismo,Movimiento Piquetero,0.882
Elecciones 2023,Milei,0.882
Leandro Santoro,Marcos Peña,0.882
Cine Argentino,Pedro Almodóvar,0.882
Kirchnerismo,Liberalismo,0.882
Elites,Gustavo Petro,0.882
Criptomonedas,Discursos De Odio,0.882
Di María,Tenis,0.882
Izquierdas,Nicolas Maduro,0.882
Comunicación Política,Marcos Peña,0.882
Pedro Almodóvar,Sex And The City,0.882
Hbo,The Last Of Us,0.882
Hbo,Pedro Pascal,0.882
Protesta Social,Represión,0.882
Derechas,Nacionalismo,0.882
Brics,Nicolás Maduro,0.882
Brics,Estados Unidos,0.882
Ley Bases,Política,0.882
Ba,Desplazados,0.882
Anticomunismo,Leandro Santoro,0.882
Democracia,Discursos Odio,0.882
Glosario De La Crisis,Sistema Bancario,0.882
Democracia,Julia Mengolini,0.882
Jorge Macri,María Eugenia Vidal,0.882
Discurso,Política Exterior,0.882
Comedores Comunitarios,Democracia,0.882
Comedores Comunitarios,Desigualdad,0.882
Claudia Sheinbaum,Peronismo,0.882
Derechas,Interseccionalidad,0.881
Gustavo Petro,Juntos Por El Cambio,0.881
Galpon Face,Mutek,0.881
8M,Triple Femicidio,0.881
8M,Memoria Trans,0.881
Reality,Redes Sociales,0.881
Recursos Naturales,Transición Energética,0.881
Hidrógeno Verde,Ola Polar,0.881
#Niunamenos,Feminismos Afro,0.881
#Niunamenos,Bell Hooks,0.881
Derechas,Feminismo Negro,0.881
Gabriel Boric,Sebastián Piñera,0.881
Progresismo,Randazzo,0.881
A 20 Años Del 2001,Política,0.881
Hidrógeno Verde,Ypf,0.881
Discapacidad,Neoliberalismo,0.881
Javier Milei,Perfil Político,0.881
Izquierdas,Santa Fe,0.881
Escuela De Política Y Gobierno,Lavagna,0.881
Agronegocios,Ley Bases,0.881
G20,Nicolas Maduro,0.881
Crisis,Unsam,0.881
Copia,Mutek,0.881
Corrupción,Lunes Negro,0.881
Crisis,Escuela Idaes,0.881
Derechas,Leda-Unsam,0.881
Gabriel Boric,Nueva Constitución,0.881
Amazon Prime,Globos De Oro,0.881
